"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-12,0,7,28,5074,0.0985109298303773,22,5074,0.0985109298303773,0.00551832873472605,NA,NA
2020-02-13,0,7,28,5797,0.112547863663125,23,5797,0.112547863663125,0.00483008452647921,"12","0.000200080032012805"
2020-02-14,0,7,28,6854,0.1330693561406,24,6854,0.1330693561406,0.00408520571928801,NA,NA
2020-02-15,0,9,28,7519,0.14598022889133,25,7519,0.14598022889133,0.00372389945471472,"13","2e-04"
2020-02-16,0,9,29,7919,0.153746167388009,26,7919,0.153746167388009,0.00366207854527087,NA,NA
2020-02-17,0,10,30,8171,0.158638708640917,27,8171,0.158638708640917,0.00367152123363113,"14","2e-04"
2020-02-18,0,12,31,9265,0.179878550429335,28,9265,0.179878550429335,0.00334592552617377,NA,NA
2020-02-19,0,12,31,10411,0.202127964222321,29,10411,0.202127964222321,0.0029776198251849,"15","0.00020116676725005"
2020-02-20,1,16,104,12161,0.236103945145293,30,12161,0.236103945145293,0.00855192829537045,NA,NA
2020-02-21,2,16,204,14816,0.287650361917003,31,14816,0.287650361917003,0.0137688984881209,"16","0.314862972594519"
2020-02-22,2,16,433,19621,0.380938698108363,32,19621,0.380938698108363,0.0220681922430049,NA,NA
2020-02-23,6,18,602,22633,0.439416214988358,33,22633,0.439416214988358,0.0265983298723103,"17","0.225090036014406"
2020-02-24,8,18,833,28615,0.555555825206198,34,28615,0.555555825206198,0.0291106063253538,NA,NA
2020-02-25,10,22,977,36716,0.712835494610196,35,36716,0.712835494610196,0.0266096524675891,"18","0.36101660996598"
2020-02-26,12,22,1261,46127,0.895548612590819,36,46127,0.895548612590819,0.0273375680187309,NA,NA
2020-02-27,13,22,1766,57990,1.12586693355609,37,57990,1.12586693355609,0.030453526470081,"19","0.355426511814177"
2020-02-28,13,22,2337,70940,1.37728919238608,38,70940,1.37728919238608,0.032943332393572,NA,NA
2020-02-29,16,27,3150,85693,1.66371641898986,39,85693,1.66371641898986,0.036759128516915,"20","0.203522113267961"
2020-03-01,17,30,3736,96985,1.88294886275111,40,96985,1.88294886275111,0.038521420838274,NA,NA
2020-03-02,28,30,4335,109591,2.12769241447396,41,109591,2.12769241447396,0.0395561679334982,"21","0.0430689102564103"
2020-03-03,28,30,5186,125851,2.44337781436398,42,125851,2.44337781436398,0.0412074596149415,NA,NA
2020-03-04,35,41,5621,136707,2.65414538516385,43,136707,2.65414538516385,0.0411171337239498,"22","0.0102347983142685"
2020-03-05,35,41,6088,146541,2.84507098310472,44,146541,2.84507098310472,0.041544687152401,NA,NA
2020-03-06,42,135,6593,164740,3.19840176985738,45,164740,3.19840176985738,0.040020638582008,"23","0.144"
2020-03-07,44,135,7041,178189,3.45951203696198,46,178189,3.45951203696198,0.0395142236613932,NA,NA
2020-03-08,50,118,7314,188518,3.66004798379249,47,188518,3.66004798379249,0.0387973562206261,"24","0.10606363818291"
2020-03-09,53,118,7478,196618,3.81730823835024,48,196618,3.81730823835024,0.0380331404042356,NA,NA
2020-03-10,54,247,7513,210144,4.07991344861545,49,210144,4.07991344861545,0.035751675041876,"25","0.479095819163833"
2020-03-11,60,288,7755,222395,4.3177647299225,50,222395,4.3177647299225,0.0348703882731176,NA,NA
2020-03-12,66,333,7869,234998,4.56245003710663,51,234998,4.56245003710663,0.0334853913650329,"26","0.346377684126028"
2020-03-13,66,510,7979,248647,4.82744327345957,52,248647,4.82744327345957,0.0320896692901986,NA,NA
2020-03-14,72,510,8086,261335,5.07377884257423,53,261335,5.07377884257423,0.0309411292019821,"27","0.0503006012024048"
2020-03-15,75,510,8162,268212,5.20729474017839,54,268212,5.20729474017839,0.0304311514771897,NA,NA
2020-03-16,75,1137,8236,274504,5.32945295273116,55,274504,5.32945295273116,0.0300032057820651,"28","0.1778"
2020-03-17,81,1407,8320,286716,5.56654705503478,56,286716,5.56654705503478,0.0290182619735208,NA,NA
